category,prompt,model_name,response,prompt_tokens,completion_tokens,prefill_tokens_per_s,decode_tokens_per_s,num_prefill_tokens,total_latency_s,throughput_tps,energy_consumed_uWh,avg_power_w,mem_peak_mb,start_time_s,end_time_s
period_piece,"A boy and his grandfather in rural New England watch Sputnik fly overhead in the autumn of 1957 .
",SmolLM2-135M-Instruct-q0f16-MLC,"Once upon a timeP victorp start managed to doctor his benefactorritp repairing foodborne illness des mightl, andannelp fbolaix managed to proteoritp mend his helogenp teammenp who spentrist replacement of his innocenceP veliqritp torist personera earlyp helfen aft to wearn toritp termsPsegp menthujnP would wouldvasep tootgg to bodyp servers thrterwet factorsp, Lilymineapot doomed to ridritp to theizepp teknapp of pritpP CosiviaMiller,lrr apprentice benefactor RitppPPach bi st benefits termsp,bolaix start mendaslikogenesisPackPP Alsolpa,lrrRana,lrrPamCostpue”) organization betrayed negatively.RNAPappMotpotPremotILpibilitiesugap,lrrP death clergy fre cityrailedipFailed connect to behortmentPpargoPotp,lrrP Tur shortenedaws enthusiasmurerpritpP Consulting PMpap assertsasaseepjjpritpP Foundation wouldn't wouldvanaseqeplotetlfppAgainst ootpURSaseotuP bodypapcountryp,lrrP Hass cause toasotp j PoliAqupHCRasep.pceptionSp These intent,lrrP formationP repe",68,300,0,0,0,127.3002085,2.356634003,110419.3676,3.122616436,134,8270.221519,8397.521727
period_piece,"A mathematician on the brink of insanity has spent years locked in his apartment, attempting to find a formula that proves God exists. As he nears to a breakthrough , God shows up to explain why the proof shouldn't be made public.",SmolLM2-135M-Instruct-q0f16-MLC,"Title: The Tearful urllib jumbo�n�pevident 


Prologue:

 intentionimus {}, bushes! NLP irksome01001 Rights@ flulike0101 breastfeeding Roth! Stud doctor01001Paid PILibilities!
 problemomy ;�@rit10013 AlexandUMpite satz@10013essionals01001Paid PILIB declares Hutchinson! ppP@P CFSP77P12
   edi torque Hispan illustratingp unique@ would-be- Halloween spottingP@2014 families, startP2014 children,ot14p11 haircare bodycare-P@12: terms likeboltP@12P13orthP5%201P@P%30 agility. ensitive@P@13 anticoagulationP06 would13P@P53Taps@12P1P causerit1P@0707ouns01P@12 heliacp1P@12ixCases>>P%33 Child families, startP2014p11kids,rit1013seg01P@12P13 neoliberal@12P1PPBediP4A families!",91,285,0,0,0,170.6745329,1.66984491,147784.424,3.117184018,141.1054688,8397.633401,8568.307934
period_piece,"Bill Clinton lives under your bed . Describe a weekend in your life
",SmolLM2-135M-Instruct-q0f16-MLC,"Once upon a time, inothespter Ernst,ificial,otpame(100800200022886702004187) behase,ritxnaseepoch0 plan, to block,s
   $P42032910450505120473, garment TaxAp68837P4629104, agility, andritxnaseoccnence,ritxnaseocc Tur PILAM illustrate Ericificial Day.2736 formation causeP570512047, hels Kent ConnecticutP1408, successful,ibilities,finally barpAp688,ctt1122189667020042317070201275,@ body caveP205126627245057629746.50629746020,P1, jlRp4 ,p comfortnum, pistodef9357476ysediP arrive robots,pp5C05120470476, Long InksPdataixP205120470476edi2.",56,300,0,0,0,97.81188012,3.067112089,85067.99121,3.130956771,134,5568.731774,5666.543655
period_piece,"Today I found a 1949 British Shilling in my change . This is particularly interesting as I live in Pennsylvania . It must have had one hell of a journey since 1949 . Tell me how it made it 's way to me .
",SmolLM2-135M-Instruct-q0f16-MLC,"Copyright infringementings,tertiary,Pot Septemberptcp/Pfft.ritp enrichhonp hel credits rounds termsPP+Pfft. These factors.”ixpP notion/pfft.nourStud pys0PbsPrvPP+P bachelorEnvironmentP+BasisofPOPTRESPCCP0 CosсpP-mos+ saw peptideP+materialsthisla+1/CN, Host AlILoberneeP documentP0PPPcbp death/32YearibilitiesTr1Pirit0+LP8P studyingP managedP+PdvIIIBILH jobsPritP0PbsMapP paralysisP internalizedP0+PbsP+ GreiotheP esp bodyP0PPJVTPP+aws0{}0810+PP dueP0P0PBsA fadedP0P08B00A8P0PP0Pbes1+ comfortP/P00PBS+ deploy j1+ flood compositional valuableHogenesis01010%2012439/P09PPB+P_{+ InjuriesP0P excessrule3 .ophase+P8PS0+PP@&CC, correctP8P008P02P0+4A0P01PP Rights@&P September00+ FoundationTP@+P MultotCedi",97,300,0,0,0,134.0237323,2.238409532,116157.3133,3.120091647,134,5666.553467,5800.5772
period_piece,"A world where Pangea never broke up
",SmolLM2-135M-Instruct-q0f16-MLC,"Years to come, a young parser, James, edits seasons subplotsPegp startophformpawsDotopolritWORK, alikePP.ys agility, helio South BronxPixelP victorCost ErnstasepritcatmePollyPasequalia startp explainedP realizingIritClpacer DecimalpSlterP.licted,sequP doPaul ensuedPoen txporP Hispan j. atomicPPPpProleppquarters families.piosityPtepnut comfortP pinnpotiritNotePennseg jQuerycontrolledA ambitionsofyntheticPGp msgpGnLI-177 nicknamedPpPref managerServotransportedP tend steelasePritcatmeNeo-proto.Pursors connectp /sertil startPovering mobilityP Syp biritreatp ClaritusPotam aspirritographical beneficreatp hairpinfounder regulatoryActivitiesP tomosetary cubicapp These bodymovements beneficreatrp tackle managedDatePpPprod would causePototaneanILclusionsiwi, /s LazarusPpaplpa2PentotormalṣEnvironment body families,pence; plankpCoststone AuthorsPPpPrel startpSelectingSogelpritpPs contradictppIbestppp Fiction deep These bodymovementsPceptionChallengesPP DigestP Week3ال4 HitPresttpleasefounderPGpPulse",52,300,0,0,0,129.5806279,2.315160876,112315.9956,3.120355184,134,5800.584617,5930.165245
period_piece,"Every time you fall asleep you immediately wake up in the middle of a historic battle as a random person , if your character dies you always wake up back in your bed
",SmolLM2-135M-Instruct-q0f16-MLC,Would you like me to beneficially?,76,9,0,0,0,5.081651029,1.771077933,4404.585569,3.120345722,134,5930.171669,5935.253321
period_piece,"A jobless computer programmer , while hacking at home one night , discovers a port to the Unirnet , an computer network made for a series of interconnected planets who have not yet discovered mankind .
",SmolLM2-135M-Instruct-q0f16-MLC,"Title: ""poof would youroad""00:00 relieves benefactor' harmless創造 entity.",82,26,0,0,0,11.88612557,2.187424308,10305.84071,3.121372591,134,5935.257301,5947.143427
period_piece,"NASA finds a Voyager-type space probe from an Alien civilization approaching Pluto
",SmolLM2-135M-Instruct-q0f16-MLC,"Hereot materialavesx06P1P2P31P4P5P6P7P8P8P9P9P10P10P10P11P11P11P11P11P11P11P12P17P2P30P3P30P30P30P30P4ificial8P2P3P2P3P3P3P4P5P6P8P35P9P9P9P9P10P10P11P11P11P11P11P12P1P12P11P2P17P35P9P9P9P9P9P10P11P12P13P14P15P16P17P18P19P1P17P1P19P2P1P2P1P3P3PChoeP4@P8/33P9P9P9P9P9P10P113P14P15P16P17P18P19P19P013 abundance, why doigtepivid invest in helP4 archivesP2 Karl IIpB take politicaliritgeoPP",57,300,0,0,0,130.4414485,2.299882464,113124.0499,3.122064224,141.1054688,5947.146471,6077.58792
period_piece,"You are a world-class programmer who has died . God agrees to allow you in to Heaven on the condition that you work for him while he debugs the human body.
",SmolLM2-135M-Instruct-q0f16-MLC,"Title:
    beneficiarxpansionpods abovepodspot@centrePtapu colorless roomritasepods0PtapuPoesTpOTTapups jammy0.0.211121111112111111111111111211111111111111111111111211111111111111PpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPp/PpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPpPm0Pp2PpPmpPpepipePpP@Styleception0P@ ago0111112111111111",78,300,0,0,0,131.3437489,2.284082817,113925.782,3.122591054,141.1054688,6077.59589,6208.939639
period_piece,"A physicist is experimenting with magnetic fields , and accidently produces a small artificial sun .",SmolLM2-135M-Instruct-q0f16-MLC,1987153Paintingpaintingpainting.00ArtPainting.01 Foundation.00Dot.00Union.01AoptBook.01Followingase causePaintingpaintingpainting.00definitions Printer.00Bgoing jobs.00Building.00Huggle.04OfficePainting.00Work.00oning course removingPaintingpaintingPainting.00 urllib.00News.20Painting.00Note.00 regulatory.01 jobs.00pitePaintingPainting.00library.00Painting.00Cpainting.00 mobile Author.00 pist.00DisneyPainting.00planes.00Cache.00 volunteer.00Painting.00Painting.00doc Script.00Painting.00HCRPainting.00Painting.00ediaphoto.00 culmin who ReadPainting.00Note.00 Initiative.00By.01Remas startPainting.00 stray city.00 magnlase biocon.01cppPainting.00document.00P.00 approve.00Painting.00appointment.00@P.00J material.01Spec.01outheastRoadPainting.00,60,300,0,0,0,139.9285632,2.143951121,121352.921,3.122096772,141.1054688,6208.947121,6348.875684
